PLAYER,SCORE,COUNT
Heretical Hermit,147035,545
Rhodry,104865,471
NEVIO,44958,409
Gradog,37379,166
Karodor,35621,187
Germanicus,32303,163
Brandemet,26882,248
Alberikh,21828,192
Morg,20702,116
Sir James III Son of Hadur,19100,208
Mr BaCk,15440,141
Braveheart,15430,101
Feli,14866,93
Foolish Mortal,14180,104
Mighty Forger,13877,80
Kosti,12542,169
Mal,12478,46
Fabrinir,11100,91
Sir Cthulhu I,10949,62
Amginir,8969,54
Uhtred,8562,98
Marvi,8317,228
doc48,8227,96
Lirinir,8227,38
Hulk,7753,67
Vlad the Impaler,7583,155
Rudolf,7404,100
Racibor,7028,82
Jaakarhu,6665,71
Nilaath,6564,86
Foxhunter,6358,63
Golgotha,6283,65
Grozilkree,6195,191
Maximus Decimus,6049,70
Magda Ewa,5904,66
MADMAN,5885,97
Thoth,5708,112
Vatharia,5588,86
Thorn,5567,50
Fosida,5563,127
DarkAngel,5315,44
Tumitac,5299,45
Legolas,5149,67
Sir RES,5013,230
Menelaos,4945,137
Mabrinad,4872,66
Immortal,4688,57
Eydaen,4661,154
Maedrosin,4409,29
Pearl,4234,44
Xan,4193,150
Bjorn,4141,73
Granidred,3990,159
Grikelv,3975,65
Snowberry,3549,208
Rhodorix,3546,44
Lady G,3522,84
Rainblade,3128,101
Logan,3040,39
Diovani,2783,180
Painmoon,2708,27
MILI,2618,68
Diabolik,2564,69
Bamsi,2542,77
Kerilir,2468,23
MONTES,2443,625
Funfiren,2091,77
Tha Supreme,2048,18
Well Constantino,2033,25
Kirimand,2007,93
Akinomuro,1921,42
Lorfanor,1899,97
TOKUGAWA NOBUNAGA,1697,104
Marcelo,1653,71
Monaoka,1638,48
Rudepravo Italiano,1623,31
Mausida,1332,52
Turbrimir,1322,102
Darvenen,1184,102
Braveheart JNR,938,42
Defur,900,35
DAJMITU,845,19
Kit Carson,777,19
AlexLeroc,720,33
zipkinci,609,26
Karo,590,14
Raya,421,11
MONA,411,43
Masius,379,47
Maveriel,182,45
idaco,172,4
Modnar,168,41
Ollin,85,37
Heimdall,39,11
Smok,16,4
Felharne,12,3
Lady Hawke,9,3
3CPo,8,2
Morardin,5,4
Finvenen,4,4
Samujas,2,2
MMM,0,1218
Accelerator,0,0
Aegrosad,0,0
Alexander Greek,0,0
Archie,0,0
Arni,0,0
Bad FutherMucker,0,0
Black Mamba,0,0
Brann Bronzebeard,0,0
Brightskin,0,0
Bubino71,0,0
Bunnyman,0,0
Cain,0,0
Catty,0,0
Cenaya,0,0
Cerim,0,0
Cesarz Saleka,0,0
Cesarzowa Cwieka,0,0
Conjudred,0,0
Cosmic Dancer,0,0
Cyril Figgis,0,0
D23,0,0
DON IRON MIKE TYSON,0,0
Dabb,0,0
Dacage,0,0
Dafur,0,0
Deep Inside,0,0
Digore,0,0
Doctor Krieger,0,0
Dr Bruce BANNER,0,0
Dragon Armor,0,0
Drugo,0,0
Dugul,0,0
EL CHAPO GUZMAN,0,0
Eyfedef,0,0
FERDAUS,0,0
Fagon,0,0
Fearlessbeard,0,0
Finan,0,0
Fire Armor,0,0
Fisk,0,0
Genghis Khan,0,0
Gros jnr,0,0
Grosvenor,0,0
Haiiro,0,0
Hermit,0,0
Immortal I,0,0
Jeepster,0,0
Jill,0,0
KARMA,0,0
KASS,0,0
Kajko,0,0
Kall,0,0
Karo 3,0,0
Karodor2,0,0
Kokosz,0,0
Kordobrek,0,0
Kyperion Du Torbiney,0,0
LETS GO BRANDON,0,0
Ladacznica,0,0
Lanfir,0,0
Lanmoin,0,0
Legon,0,0
Lerinad,0,0
Lilor,0,0
Lirafin,0,0
Lordis,0,0
Luciditee,0,0
MIYAMOTO MUSASHI,0,0
MMMm,0,0
MONTES P,0,0
Maanan,0,0
Mador,0,0
Maelstrom,0,0
Mal the Uncrowned,0,0
Manandis,0,0
Marco,0,0
MarcusTulliusCicero,0,0
Marvilla,0,0
Mazura,0,0
Meddry,0,0
Minerva,0,0
Mingo 2,0,0
Moginn,0,0
Mogra,0,0
Monster Killer,0,0
Morn,0,0
Muradin Bronzebeard,0,0
NaChos,0,0
Nevyn,0,0
Nobody special,0,0
Norbee1984,0,0
Nygus,0,0
Ognisty Smok,0,0
Osferth,0,0
Priligy,0,0
Pryntyl,0,0
Puck,0,0
Quick,0,0
RED GUARDIAN,0,0
Rain,0,0
RatkoM,0,0
Ray Gillette,0,0
Rebellion,0,0
RedDragon,0,0
Rori,0,0
Sabar,0,0
Sailv,0,0
Sassy Gal,0,0
Saucy Joy,0,0
Secret Keeper,0,0
Sihtric,0,0
Silverblade,0,0
Sir Chthulhu I,0,0
Sire Menion,0,0
Smokn,0,0
StarSailor,0,0
Steapa,0,0
Sterling Archer,0,0
Tex Willer,0,0
The Gladiator,0,0
Thor,0,0
Tolnozin,0,0
Tonto,0,0
Tricolor Carioca,0,0
Tygojind,0,0
Tygoran,0,0
Tygradi,0,0
Unicorn X,0,0
Viper I,0,0
Xavier St Cloud,0,0
Xena,0,0
Xenia,0,0
ZaCk,0,0
aganaway,0,0
desperados,0,0
mestesso,0,0
nallekarhu,0,0
nervous,0,0
semoury,0,0
