TIER,PLAYER,,COUNT,SCORE,CITS,,
1,Heretical Hermit,,545,147035,444,,10988
1,Rhodry,,471,104865,374,,3419
1,NEVIO,,409,44958,325,,
1,SJ III SoH,,208,19100,104,,
1,Karodor,,187,35621,95,,
1,Brandemet,,248,26882,94,,
1,Morg,,116,20702,72,,
1,Fosida,,127,5563,62,,
1,Thoth,,112,5708,59,,
1,Mr BaCk,,141,15440,55,,
1,Fabrinir,,91,11100,46,,
1,Gradog,,166,37379,45,,
1,Marvi,,228,8317,42,,
1,Feli,,93,14866,41,,
1,Rudolf,,100,7404,39,,
1,Legolas,,67,5149,39,,
1,Braveheart,,101,15430,37,,
1,Germanicus,,163,32303,33,,
1,Nilaath,,86,6564,31,,
1,Mighty Forger,,80,13877,30,,
1,Mabrinad,,66,4872,29,,
1,Racibor,,82,7028,25,,
1,Max Decimus,,70,6049,22,,
1,Thorn,,50,5567,19,,
1,Amginir,,54,8969,16,,
1,doc48,,96,8227,13,,
1,Magda Ewa,,66,5904,12,,
1,Lirinir,,38,8227,12,,
1,Diabolik,,69,2564,9,,
1,Logan,,39,3040,6,,
1,Mal,,46,12478,4,,
1,Immortal,,57,4688,3,,
1,Hulk,,67,7753,0,,
1,Tumitac,,45,5299,0,,
1,idaco,,4,172,0,,
2,Snowberry,,208,3549,175,,
2,Alberikh,,192,21828,165,,
2,Sir RES,,230,5013,72,,
2,Xan,,150,4193,56,,
2,Uhtred,,98,8562,47,,
2,Kosti,,169,12542,38,,
2,Menelaos,,137,4945,36,,
2,MONTES,,625,2443,35,,
2,Grozilkree,,191,6195,31,,
2,Rainblade,,101,3128,29,,
2,Lady G,,84,3522,29,,
2,MADMAN,,97,5885,27,,
2,Vlad the Impaler,,155,7583,25,,
2,Eydaen,,154,4661,22,,
2,Foxhunter,,63,6358,21,,
2,Foolish Mortal,,104,14180,20,,
2,Golgotha,,65,6283,19,,
2,Marcelo,,71,1653,15,,
2,Jaakarhu,,71,6665,13,,
2,Sir Cthulhu I,,62,10949,9,,
2,MILI,,68,2618,5,,
2,Bamsi,,77,2542,4,,
2,Turbrimir,,102,1322,3,,
2,Rudepravo Italiano,,31,1623,3,,
2,Bjorn,,73,4141,2,,
2,DarkAngel,,44,5315,1,,
2,Maedrosin,,29,4409,1,,
2,Painmoon,,27,2708,1,,
2,Well Constantino,,25,2033,1,,
2,Kerilir,,23,2468,1,,
2,Pearl,,44,4234,0,,
2,DAJMITU,,19,845,0,,
2,Tha Supreme,,18,2048,0,,
3,Diovani,,180,2783,66,,
3,Granidred,,159,3990,48,,
3,T NOBUNAGA,,104,1697,31,,
3,Funfiren,,77,2091,30,,
3,Grikelv,,65,3975,15,,
3,Lorfanor,,97,1899,14,,
3,Vatharia,,86,5588,12,,
3,Monaoka,,48,1638,12,,
3,Kirimand,,93,2007,11,,
3,Mausida,,52,1332,10,,
3,Masius,,47,379,10,,
3,Defur,,35,900,7,,
3,Braveheart JNR,,42,938,4,,
3,Akinomuro,,42,1921,2,,
3,Maveriel,,45,182,1,,
3,Rhodorix,,44,3546,1,,
3,MONA,,43,411,1,,
3,Kit Carson,,19,777,1,,
3,Darvenen,,102,1184,0,,
3,Modnar,,41,168,0,,
3,Ollin,,37,85,0,,
3,AlexLeroc,,33,720,0,,
3,zipkinci,,26,609,0,,
3,Karo,,14,590,0,,
3,Raya,,11,421,0,,
3,Heimdall,,11,39,0,,
3,Smok,,4,16,0,,
3,Morardin,,4,5,0,,
3,Finvenen,,4,4,0,,
3,Felharne,,3,12,0,,
3,Lady Hawke,,3,9,0,,
3,3CPo,,2,8,0,,
3,Samujas,,2,2,0,,
,MMM,,1218,0,,,
,Accelerator,,0,0,,,
,Aegrosad,,0,0,,,
,Alexander Greek,,0,0,,,
,Archie,,0,0,,,
,Arni,,0,0,,,
,Bad FutherMucker,,0,0,,,
,Black Mamba,,0,0,,,
,Brann Bronzebeard,,0,0,,,
,Brightskin,,0,0,,,
,Bubino71,,0,0,,,
,Bunnyman,,0,0,,,
,Cain,,0,0,,,
,Catty,,0,0,,,
,Cenaya,,0,0,,,
,Cerim,,0,0,,,
,Cesarz Saleka,,0,0,,,
