PLAYER,COUNT,TIER,SCORE,LAST WEEK,9698
Hulk,736,1,294703,,
MMM,606,,6250,,
Brandemet,411,1,21567,,
Cesarz Saleka,352,1,65882,,
Silverblade,344,3,7149,,
Vlad the Impaler,211,2,9435,,
Grozilkree,209,3,6720,,
Xena,197,2,14646,,
Thorn,193,2,25600,,
Karodor,174,1,16936,,
Marvi,174,1,10838,,
Morg,173,1,15608,,
Rudolf,160,1,11665,,
nervous,157,2,3037,,
Heretical Hermit,154,1,42020,,
Monster Killer,149,3,4700,,
Braveheart,142,1,20051,,
MADMAN,137,3,4067,,
Sir RES,133,2,3544,,
D23,129,2,9084,,
Sailv,126,3,9118,,
Marcelo,125,2,3926,,
SJ III SoH,121,1,13083,,
DarkAngel,120,2,6140,,
KARMA,116,1,28040,,
MONTES,114,2,3496,,
Mr BaCk,113,1,14218,,
NEVIO,113,2,12676,,
Bamsi,111,3,3320,,
Eydaen,108,2,6111,,
Immortal,108,1,2172,,
Xenia,104,3,1797,,
Alberikh,103,2,16701,,
Genghis Khan,103,1,5594,,
Turbrimir,101,2,1136,,
Sire Menion,100,2,14754,,
Muradin Bronzebeard,95,2,9099,,
Foolish Mortal,93,1,8993,,
Racibor,93,2,7993,,
Well Constantino,92,2,6317,,
Kirimand,92,3,1697,,
Rainblade,88,2,4668,,
Tricolor Carioca,85,2,6702,,
Sir Cthulhu I,84,2,11763,,
Mazura,81,3,3462,,
Uhtred,79,2,10502,,
RatkoM,78,1,20064,,
Feli,71,1,8166,,
Thoth,70,1,8936,,
Bjorn,69,1,9594,,
Rhodry,67,1,16528,,
Pearl,66,2,5168,,
Rebellion,66,2,3775,,
DAJMITU,65,1,7350,,
Grosvenor,61,1,15838,,
Nygus,61,3,1791,,
Mighty Forger,58,1,6865,,
Modnar,57,3,184,,
Gradog,54,1,9059,,
Tumitac,53,1,9519,,
Mal the Unc,52,1,6728,,
Mabrinad,48,2,4506,,
Amginir,47,2,8217,,
Conjudred,46,1,5601,,
Grikelv,46,3,2193,,
Saucy Joy,45,3,1352,,
Lirinir,44,1,7101,,
Dr Bruce BANNER,44,3,3759,,
Dafur,44,3,919,,
Fire Armor,43,2,3170,,
Legolas,42,1,6035,,
RED GUARDIAN,41,3,6405,,
Diabolik,41,1,1249,,
Maedrosin,40,2,6694,,
Lanfir,40,3,46,,
Painmoon,39,2,1738,,
Morn,38,1,5037,,
MILI,38,2,3205,,
Fosida,37,2,5115,,
MarcusTulliusCicero,37,3,1738,,
Kerilir,33,1,2858,,
T NOBUNAGA,32,3,2080,,
zipkinci,32,3,1598,,
Nobody special,29,3,270,,
Maanan,27,3,102,,
Funfiren,23,3,1042,,
Lady G,22,3,1672,,
Lilor,20,3,910,,
StarSailor,19,3,1859,,
Xan,19,2,1306,,
Luciditee,18,1,1614,,
Rain,18,1,480,,
Foxhunter,10,1,1218,,
Meddry,9,3,153,,
Jill,7,3,730,,
Cyril Figgis,5,3,451,,
Manandis,5,3,300,,
Rhodorix,5,3,286,,
Smok,3,3,9,,
Drugo,3,3,3,,
Doctor Krieger,2,3,400,,
3CPo,0,,0,,
Aegrosad,0,,0,,
Archie,0,,0,,
Arni,0,,0,,
Bad FutherMucker,0,,0,,
Black Mamba,0,,0,,
Braveheart JNR,0,,0,,
Brightskin,0,,0,,
Cain,0,,0,,
Catty,0,,0,,
Cenaya,0,,0,,
Cesarzowa Cwieka,0,,0,,
Cosmic Dancer,0,,0,,
DON IRON MIKE TYSON,0,,0,,
Deep Inside,0,,0,,
Digore,0,,0,,
Dragon Armor,0,,0,,
Dugul,0,,0,,
EL CHAPO GUZMAN,0,,0,,
FERDAUS,0,,0,,
Fagon,0,,0,,
Felharne,0,,0,,
Gros jnr,0,,0,,
Haiiro,0,,0,,
Immortal I,0,,0,,
Jeepster,0,,0,,
KASS,0,,0,,
Kajko,0,,0,,
Karo 3,0,,0,,
Karodor2,0,,0,,
Kit Carson,0,,0,,
Kokosz,0,,0,,
Kordobrek,0,,0,,
Kyperion Du Torbiney,0,,0,,
LETS GO BRANDON,0,,0,,
Legon,0,,0,,
Lerinad,0,,0,,
Lorfanor,0,,0,,
MIYAMOTO MUSASHI,0,,0,,
MMMm,0,,0,,
Mador,0,,0,,
Maelstrom,0,,0,,
Marco,0,,0,,
Marvilla,0,,0,,
Masius,0,,0,,
Maximus Decimus,0,,0,,
Mingo 2,0,,0,,
Nevyn,0,,0,,
Norbee1984,0,,0,,
Ognisty Smok,0,,0,,
Pryntyl,0,,0,,
Puck,0,,0,,
Quick,0,,0,,
Ray Gillette,0,,0,,
Sabar,0,,0,,
Sassy Gal,0,,0,,
Secret Keeper,0,,0,,
Sir Chthulhu I,0,,0,,
Smokn,0,,0,,
Tex Willer,0,,0,,
Tonto,0,,0,,
Tygradi,0,,0,,
Viper I,0,,0,,
Xavier St Cloud,0,,0,,
ZaCk,0,,0,,
semoury,0,,0,,
