PLAYER,SCORE,COUNT,TIER,MIGHT
Hulk,30971,117,1,672.4
Braveheart,7152,57,1,141.8
RatkoM,7072,38,1,250.4
Morg,6988,52,1,136.7
Marvi,5449,72,1,143.6
Germanicus,5207,63,1,179.3
Brandemet,5068,87,1,111.4
Tumitac,5003,30,1,151.9
Gradog,4622,37,1,232.7
Sir James III Son of Hadur,4135,54,1,359.8
Rhodry,3741,27,1,302.6
Rudolf,3599,85,1,117.8
Rain,3255,21,1,101.3
Mr BaCk,3227,61,1,164.7
Lirinir,3195,14,1,124.2
Fosida,3114,20,1,111.1
Feli,3001,29,1,114.8
Grosvenor,2740,17,1,135.3
Mighty Forger,2486,19,1,132.5
Maximus Decimus,2334,17,1,183.8
doc48,2277,21,1,132
Nilaath,2021,17,1,138.7
Foxhunter,1596,28,1,104.4
idaco,1564,31,1,107.3
Diabolik,1533,17,1,129.2
Sire Menion,1300,28,1,101.5
Karodor,865,23,1,210.9
Mabrinad,708,11,1,116.8
Logan,6713,158,2,96.9
D23,5878,72,2,70.6
Racibor,4625,43,2,78
Muradin Bronzebeard,4598,44,2,65.4
Maedrosin,4167,31,2,61.6
Pearl,4075,57,2,78.6
Accelerator,4066,14,2,99.1
DAJMITU,3510,22,2,99.1
NEVIO,3440,45,2,75.7
Alberikh,3092,25,2,71.1
Legolas,2634,41,2,97.5
Thoth,2528,18,2,98.5
Xena,2513,47,2,67.8
Tricolor Carioca,2513,90,2,64.1
Bjorn,2490,22,2,88.4
DarkAngel,2288,60,2,61.8
Fire Armor,2128,28,2,80
Conjudred,2106,22,2,96.9
Marcelo,1989,48,2,60.8
Well Constantino,1920,38,2,65.1
Sir RES,1849,47,2,64.8
Uhtred,1747,18,2,86.1
Vlad the Impaler,1678,43,2,84.1
Rainblade,1349,29,2,64.5
Kerilir,1067,9,2,84.9
Thorn,875,9,2,83.3
Xan,612,9,2,64.4
Foolish Mortal,538,9,2,85.8
Immortal,496,16,2,94.9
nervous,393,4,2,67.5
MONTES,249,20,2,96.1
Amginir,15322,35,3,58
RED GUARDIAN,4792,22,3,31.7
Granidred,3654,114,3,32.5
Tha Supreme,2669,20,3,48.7
MADMAN,1828,46,3,53.3
Lady G,1713,17,3,47.8
Rebellion,1592,16,3,55.6
Eydaen,1460,70,3,59.1
Masius,1279,45,3,18.2
Kirimand,1042,46,3,25.6
MILI,1005,21,3,57.9
Grozilkree,922,41,3,43.3
TOKUGAWA NOBUNAGA,921,30,3,32.5
Sir Cthulhu I,834,7,3,57.3
LETS GO BRANDON,774,24,3,7.5
Saucy Joy,772,26,3,39
Cain,712,16,3,7
3CPo,712,16,3,2.9
Mausida,701,14,3,3.8
Bamsi,599,34,3,52.9
Mazura,540,22,3,48.7
Painmoon,521,7,3,56.2
Kall,412,13,3,14.1
Tygojind,300,5,3,11.6
Minerva,259,16,3,19.1
Legon,244,15,3,5.8
Hermit,170,3,3,19.8
Silverblade,91,13,3,22.9
Manandis,90,2,3,12.4
Dr Bruce BANNER,59,4,3,43.7
Nobody special,55,4,3,23.3
zipkinci,51,3,3,42
Digore,36,9,3,3.3
StarSailor,0,0,3,32.9
Tygoran,0,0,3,18.9
Gros jnr,0,0,3,18.1
Kokosz,0,0,3,5.1
MMM,2500,330,,
Marvilla,1226,48,,
Bad FutherMucker,939,15,,
Quick,12,3,,
Aegrosad,0,0,,
Archie,0,0,,
Arni,0,0,,
Black Mamba,0,0,,
Brann Bronzebeard,0,0,,
Braveheart JNR,0,0,,
Brightskin,0,0,,
Catty,0,0,,
Cenaya,0,0,,
Cerim,0,0,,
Cesarz Saleka,0,0,,
Cesarzowa Cwieka,0,0,,
Cosmic Dancer,0,0,,
Cyril Figgis,0,0,,
DON IRON MIKE TYSON,0,0,,
Dacage,0,0,,
Dafur,0,0,,
Deep Inside,0,0,,
Doctor Krieger,0,0,,
Dragon Armor,0,0,,
Drugo,0,0,,
Dugul,0,0,,
EL CHAPO GUZMAN,0,0,,
FERDAUS,0,0,,
Fagon,0,0,,
Felharne,0,0,,
Fisk,0,0,,
Funfiren,0,0,,
Genghis Khan,0,0,,
Grikelv,0,0,,
Haiiro,0,0,,
Heimdall,0,0,,
Heretical Hermit,0,0,,
Immortal I,0,0,,
Jeepster,0,0,,
Jill,0,0,,
KARMA,0,0,,
KASS,0,0,,
Kajko,0,0,,
Karo 3,0,0,,
Karodor2,0,0,,
Kit Carson,0,0,,
Kordobrek,0,0,,
Kyperion Du Torbiney,0,0,,
Lanfir,0,0,,
Lanmoin,0,0,,
Lerinad,0,0,,
Lilor,0,0,,
Lorfanor,0,0,,
Luciditee,0,0,,
MIYAMOTO MUSASHI,0,0,,
MMMm,0,0,,
Maanan,0,0,,
Mador,0,0,,
Maelstrom,0,0,,
Mal the Uncrowned,0,0,,
Marco,0,0,,
MarcusTulliusCicero,0,0,,
Meddry,0,0,,
Mingo 2,0,0,,
Modnar,0,0,,
Monster Killer,0,0,,
Morn,0,0,,
NaChos,0,0,,
Nevyn,0,0,,
Norbee1984,0,0,,
Nygus,0,0,,
Ognisty Smok,0,0,,
Pryntyl,0,0,,
Puck,0,0,,
