PLAYER,COUNT,TIER,SCORE
Hulk,364,1,139245
Rhodry,179,1,53655
Cesarz Saleka,175,1,36635
Karodor,173,1,23396
Marvi,139,1,6601
Brandemet,133,1,9272
Thoth,110,1,12819
Foolish Mortal,106,1,10200
Sir James III Son of Hadur,104,1,25185
Mr BaCk,96,1,8735
Genghis Khan,93,1,3504
Rudolf,87,1,4484
Immortal,77,1,1121
Heretical Hermit,71,1,18270
KARMA,67,1,13991
Braveheart,65,1,7053
Feli,52,1,5948
Tumitac,51,1,9581
Gradog,48,1,7091
RatkoM,44,1,11655
Kerilir,43,1,2795
Mighty Forger,41,1,6263
Mal the Uncrowned,41,1,5737
Conjudred,39,1,4744
Legolas,38,1,5106
Lirinir,36,1,4733
Rain,34,1,2079
Grosvenor,33,1,7260
Diabolik,33,1,1784
Bjorn,28,1,2595
DAJMITU,22,1,3576
Foxhunter,20,1,3240
Luciditee,17,1,1948
MONTES,441,2,2401
D23,181,2,10948
nervous,178,2,4575
Racibor,151,2,18481
Morg,151,2,12365
Vlad the Impaler,149,2,6731
Xena,136,2,9461
Sir RES,124,2,2904
Uhtred,121,2,10829
Rebellion,116,2,4494
Eydaen,105,2,3658
DarkAngel,97,2,4925
Turbrimir,92,2,891
Fosida,91,2,9101
Muradin Bronzebeard,89,2,9517
Rainblade,77,2,3255
Tricolor Carioca,75,2,5202
MILI,61,2,2927
Well Constantino,54,2,3231
Alberikh,51,2,6570
Maedrosin,44,2,5242
Mabrinad,42,2,3971
NEVIO,41,2,4464
Fire Armor,41,2,2364
Thorn,40,2,6133
Painmoon,32,2,1848
Amginir,31,2,4322
Pearl,31,2,3112
Sire Menion,20,2,2225
Xan,17,2,961
Bamsi,147,3,2970
Sailv,128,3,5138
Marcelo,110,3,2297
Monster Killer,101,3,2003
Grozilkree,100,3,3013
Mazura,95,3,1802
Nygus,94,3,1669
RED GUARDIAN,87,3,6578
MADMAN,74,3,2354
Grikelv,64,3,1727
Sir Cthulhu I,63,3,9777
Kirimand,63,3,1442
zipkinci,47,3,1751
TOKUGAWA NOBUNAGA,46,3,1436
Lanfir,43,3,65
Saucy Joy,42,3,1072
Meddry,42,3,856
Maanan,38,3,418
Dafur,34,3,797
Nobody special,32,3,409
Silverblade,32,3,252
Xenia,26,3,747
StarSailor,25,3,1294
Rhodorix,22,3,1633
Digore,19,3,718
Lorfanor,17,3,910
Braveheart JNR,16,3,706
DON IRON MIKE TYSON,11,3,187
Lilor,10,3,20
Doctor Krieger,6,3,201
Dr Bruce BANNER,5,3,14
Manandis,4,3,223
Funfiren,4,3,63
Lady G,3,3,202
Smok,3,3,12
Jill,0,3,0
MMM,805,,6250
3CPo,0,,0
Aegrosad,0,,0
Archie,0,,0
Arni,0,,0
Bad FutherMucker,0,,0
Black Mamba,0,,0
Brightskin,0,,0
Cain,0,,0
Catty,0,,0
Cenaya,0,,0
Cesarzowa Cwieka,0,,0
Cosmic Dancer,0,,0
Cyril Figgis,0,,0
Deep Inside,0,,0
Dragon Armor,0,,0
Drugo,0,,0
Dugul,0,,0
EL CHAPO GUZMAN,0,,0
FERDAUS,0,,0
Fagon,0,,0
Felharne,0,,0
Gros jnr,0,,0
Haiiro,0,,0
Immortal I,0,,0
Jeepster,0,,0
KASS,0,,0
Kajko,0,,0
Karo 3,0,,0
Karodor2,0,,0
Kit Carson,0,,0
Kokosz,0,,0
Kordobrek,0,,0
Kyperion Du Torbiney,0,,0
LETS GO BRANDON,0,,0
Legon,0,,0
Lerinad,0,,0
MIYAMOTO MUSASHI,0,,0
MMMm,0,,0
Mador,0,,0
Maelstrom,0,,0
Marco,0,,0
MarcusTulliusCicero,0,,0
Marvilla,0,,0
Masius,0,,0
Maximus Decimus,0,,0
Mingo 2,0,,0
Nevyn,0,,0
Norbee1984,0,,0
Ognisty Smok,0,,0
Pryntyl,0,,0
Puck,0,,0
Quick,0,,0
Ray Gillette,0,,0
Sabar,0,,0
Sassy Gal,0,,0
Secret Keeper,0,,0
Sir Chthulhu I,0,,0
Smokn,0,,0
Tex Willer,0,,0
Tonto,0,,0
Tygradi,0,,0
Viper I,0,,0
Xavier St Cloud,0,,0
ZaCk,0,,0
semoury,0,,0
